model,dataset,fit_time-1:10,fit_time-2:10,fit_time-3:10,fit_time-4:10,fit_time-5:10,fit_time-6:10,fit_time-7:10,fit_time-8:10,fit_time-9:10,fit_time-10:10,score_time-1:10,score_time-2:10,score_time-3:10,score_time-4:10,score_time-5:10,score_time-6:10,score_time-7:10,score_time-8:10,score_time-9:10,score_time-10:10,test_accuracy-1:10,test_accuracy-2:10,test_accuracy-3:10,test_accuracy-4:10,test_accuracy-5:10,test_accuracy-6:10,test_accuracy-7:10,test_accuracy-8:10,test_accuracy-9:10,test_accuracy-10:10,train_accuracy-1:10,train_accuracy-2:10,train_accuracy-3:10,train_accuracy-4:10,train_accuracy-5:10,train_accuracy-6:10,train_accuracy-7:10,train_accuracy-8:10,train_accuracy-9:10,train_accuracy-10:10,test_hamming_loss-1:10,test_hamming_loss-2:10,test_hamming_loss-3:10,test_hamming_loss-4:10,test_hamming_loss-5:10,test_hamming_loss-6:10,test_hamming_loss-7:10,test_hamming_loss-8:10,test_hamming_loss-9:10,test_hamming_loss-10:10,train_hamming_loss-1:10,train_hamming_loss-2:10,train_hamming_loss-3:10,train_hamming_loss-4:10,train_hamming_loss-5:10,train_hamming_loss-6:10,train_hamming_loss-7:10,train_hamming_loss-8:10,train_hamming_loss-9:10,train_hamming_loss-10:10,test_f1-1:10,test_f1-2:10,test_f1-3:10,test_f1-4:10,test_f1-5:10,test_f1-6:10,test_f1-7:10,test_f1-8:10,test_f1-9:10,test_f1-10:10,train_f1-1:10,train_f1-2:10,train_f1-3:10,train_f1-4:10,train_f1-5:10,train_f1-6:10,train_f1-7:10,train_f1-8:10,train_f1-9:10,train_f1-10:10
baseline_binary_relevance_model,./data/ariane.arff,0.0030014514923095703,0.004000425338745117,0.0020012855529785156,0.004000425338745117,0.00400090217590332,0.003000497817993164,0.0039975643157958984,0.0039997100830078125,0.0029997825622558594,0.004003286361694336,0.007999420166015625,0.008101463317871094,0.007998228073120117,0.010105133056640625,0.006103038787841797,0.009104251861572266,0.008002042770385742,0.008104801177978516,0.008998632431030273,0.009000539779663086,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.625,0.625,0.56,0.56,0.6,-0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.15833333333333333,-0.15,-0.13333333333333333,-0.14166666666666666,-0.10833333333333334,-0.10833333333333334,-0.125,-0.168,-0.152,-0.152,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.06666666666666668,0.17575757575757575,0.18666666666666668,0.10909090909090909,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.12307692307692306
baseline_stacked_generalization,./data/ariane.arff,0.01000213623046875,0.009999752044677734,0.014002084732055664,0.014000892639160156,0.013000249862670898,0.01200103759765625,0.01600027084350586,0.018001794815063477,0.015002250671386719,0.016998291015625,0.012998342514038086,0.009998083114624023,0.012001991271972656,0.01100301742553711,0.011002779006958008,0.011004924774169922,0.01399993896484375,0.015000104904174805,0.01299905776977539,0.012000083923339844,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625,0.625,0.625,0.56,0.56,0.64,-0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.0,-0.0,-0.2,-0.15833333333333333,-0.15,-0.13333333333333333,-0.15,-0.10833333333333334,-0.10833333333333334,-0.125,-0.152,-0.152,-0.136,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.06666666666666668,0.10909090909090909,0.12,0.10909090909090909,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.12307692307692306
baseline_dependant_binary_relevance,./data/ariane.arff,0.014999866485595703,0.012082815170288086,0.01108241081237793,0.015001535415649414,0.01400136947631836,0.01400136947631836,0.02633833885192871,0.01933884620666504,0.027338027954101562,0.02333664894104004,0.013000249862670898,0.01299905776977539,0.013000249862670898,0.010997533798217773,0.011997699737548828,0.011997699737548828,0.01667189598083496,0.014000892639160156,0.014666557312011719,0.01667189598083496,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625,0.625,0.625,0.52,0.56,0.64,-0.0,-0.06666666666666667,-0.06666666666666667,-0.0,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.0,-0.0,-0.2,-0.15833333333333333,-0.15,-0.13333333333333333,-0.15,-0.10833333333333334,-0.10833333333333334,-0.125,-0.152,-0.152,-0.136,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.06666666666666668,0.10909090909090909,0.12,0.10909090909090909,0.13333333333333333,0.1,0.11428571428571428,0.12307692307692306
baseline_classifier_chain,./data/ariane.arff,0.02213120460510254,0.018001556396484375,0.01699995994567871,0.01800084114074707,0.015996217727661133,0.0226438045501709,0.02264690399169922,0.0189969539642334,0.01964282989501953,0.018643617630004883,0.008517742156982422,0.006647586822509766,0.006647586822509766,0.006648063659667969,0.006647586822509766,0.007000446319580078,0.007997512817382812,0.00664973258972168,0.007000446319580078,0.006001472473144531,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5,0.5416666666666666,0.5416666666666666,0.5,0.625,0.625,0.5833333333333334,0.56,0.52,0.6,-0.0,-0.06666666666666667,-0.06666666666666667,-0.0,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.19166666666666668,-0.18333333333333332,-0.16666666666666666,-0.18333333333333332,-0.10833333333333334,-0.10833333333333334,-0.15833333333333333,-0.168,-0.184,-0.168,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.16111111111111112,0.10909090909090909,0.12,0.10909090909090909,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.12307692307692306
stacking_with_f_tests-alpha=0.25,./data/ariane.arff,0.01999950408935547,0.02700042724609375,0.016762495040893555,0.018761873245239258,0.016999244689941406,0.029049396514892578,0.01499795913696289,0.016000747680664062,0.016003847122192383,0.03576302528381348,0.021761178970336914,0.020760536193847656,0.017004966735839844,0.01900029182434082,0.021761178970336914,0.021711111068725586,0.019759654998779297,0.019759654998779297,0.016755342483520508,0.016997337341308594,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.625,0.625,0.56,0.56,0.6,-0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.15833333333333333,-0.15,-0.13333333333333333,-0.14166666666666666,-0.10833333333333334,-0.10833333333333334,-0.125,-0.168,-0.152,-0.152,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.06666666666666668,0.17575757575757575,0.18666666666666668,0.10909090909090909,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.12307692307692306
stacking_with_f_tests-alpha=0.50,./data/ariane.arff,0.010998010635375977,0.010998964309692383,0.01300191879272461,0.010995626449584961,0.010994434356689453,0.013002634048461914,0.019212722778320312,0.01820969581604004,0.01821136474609375,0.029209375381469727,0.014005661010742188,0.013001203536987305,0.013002634048461914,0.011005640029907227,0.016005516052246094,0.0099945068359375,0.0200502872467041,0.0200502872467041,0.01905226707458496,0.019827604293823242,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.625,0.625,0.56,0.56,0.6,-0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.15833333333333333,-0.15,-0.14166666666666666,-0.14166666666666666,-0.10833333333333334,-0.10833333333333334,-0.125,-0.168,-0.152,-0.152,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.12307692307692306,0.10909090909090909,0.17575757575757575,0.18666666666666668,0.10909090909090909,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.12307692307692306
stacking_with_f_tests-alpha=0.75,./data/ariane.arff,0.018489837646484375,0.021484375,0.017487287521362305,0.01848435401916504,0.017483949661254883,0.023486852645874023,0.021486520767211914,0.01848912239074707,0.01848912239074707,0.025504350662231445,0.019020557403564453,0.01802349090576172,0.021019458770751953,0.019021034240722656,0.0220181941986084,0.01801776885986328,0.019016742706298828,0.01901531219482422,0.017020225524902344,0.013998031616210938,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625,0.625,0.625,0.56,0.56,0.64,-0.0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.15833333333333333,-0.15,-0.14166666666666666,-0.15833333333333333,-0.10833333333333334,-0.10833333333333334,-0.125,-0.168,-0.152,-0.144,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.12500000000000003,0.13333333333333336,0.10909090909090909,0.1142857142857143,0.2,0.10909090909090909,0.14285714285714285,0.11428571428571428,0.12500000000000003,0.14285714285714285
classifier_chain_with_f_test_ordering-ascending_chain=False,./data/ariane.arff,0.05828428268432617,0.05928182601928711,0.048986196517944336,0.05127573013305664,0.060285091400146484,0.06228208541870117,0.05528378486633301,0.03200030326843262,0.031000852584838867,0.035001516342163086,0.007998466491699219,0.007000923156738281,0.027300357818603516,0.009008169174194336,0.008996963500976562,0.008002042770385742,0.012000083923339844,0.003997325897216797,0.002996683120727539,0.002997159957885742,1.0,0.6666666666666666,,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,,0.5416666666666666,0.6666666666666666,0.625,0.625,0.56,0.56,0.64,-0.0,-0.06666666666666667,,-0.2,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.2,-0.0,-0.2,-0.15833333333333333,-0.15,,-0.15,-0.10833333333333334,-0.10833333333333334,-0.125,-0.168,-0.152,-0.144,0.0,0.0,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12500000000000003,0.13333333333333336,,0.18095238095238098,0.13333333333333333,0.10909090909090909,0.14285714285714285,0.11428571428571428,0.12500000000000003,0.14285714285714285
classifier_chain_with_f_test_ordering-ascending_chain=True,./data/ariane.arff,0.032004594802856445,0.03300118446350098,0.029003381729125977,0.03300118446350098,0.02500009536743164,0.034982919692993164,0.031000137329101562,0.028001070022583008,0.029004812240600586,0.03599095344543457,0.006989240646362305,0.006992340087890625,0.0064716339111328125,0.0059909820556640625,0.00799870491027832,0.006009817123413086,0.006992340087890625,0.004981040954589844,0.007987499237060547,0.007001161575317383,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.5,,0.625,0.5833333333333334,0.6,0.56,0.64,-0.0,-0.06666666666666667,-0.06666666666666667,-0.0,,-0.3333333333333333,-0.26666666666666666,-0.1,-0.0,-0.2,-0.15833333333333333,-0.18333333333333332,-0.14166666666666666,-0.18333333333333332,,-0.10833333333333334,-0.15833333333333333,-0.144,-0.152,-0.144,0.0,0.0,0.2,0.2,,0.2,0.0,0.0,0.0,0.0,0.12500000000000003,0.12307692307692306,0.10909090909090909,0.10909090909090909,,0.10909090909090909,0.13333333333333333,0.13333333333333333,0.12500000000000003,0.14285714285714285
classifier_chain_with_lop-num_generations=10,./data/ariane.arff,0.34921813011169434,0.3342173099517822,0.30822157859802246,0.3432176113128662,0.30622172355651855,0.3372173309326172,0.31922030448913574,0.3562164306640625,0.3502163887023926,0.32521700859069824,0.0039997100830078125,0.0050013065338134766,0.005999088287353516,0.004001140594482422,0.0059986114501953125,0.006001949310302734,0.003997087478637695,0.002999544143676758,0.0039997100830078125,0.004000663757324219,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.625,0.625,0.6,0.56,0.68,-0.0,-0.06666666666666667,-0.06666666666666667,-0.0,-0.3333333333333333,-0.3333333333333333,-0.26666666666666666,-0.1,-0.0,-0.2,-0.15833333333333333,-0.15,-0.14166666666666666,-0.15833333333333333,-0.10833333333333334,-0.10833333333333334,-0.125,-0.144,-0.152,-0.128,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.12500000000000003,0.13333333333333336,0.10909090909090909,0.1142857142857143,0.13333333333333333,0.10909090909090909,0.14285714285714285,0.13333333333333333,0.12500000000000003,0.14285714285714285
