model,./data/ariane.arff,./data/ariane.arff_std,best_./data/ariane.arff,best_awards,rank_./data/ariane.arff,rank_average
baseline_dependant_binary_relevance,-0.1267,0.1348,1,1,1.0,1.0
classifier_chain_with_genetic_algorithm,-0.1267,0.1348,1,1,1.0,1.0
baseline_stacked_generalization,-0.1333,0.13,0,0,3.0,3.0
classifier_chain_with_lop,-0.1367,0.1286,0,0,4.0,4.0
partial_classifier_chain_with_lop,-0.1367,0.1286,0,0,4.0,4.0
label_powerset,-0.14,0.1123,0,0,6.0,6.0
baseline_classifier_chain,-0.1467,0.1293,0,0,7.0,7.0
classifier_chain,-0.1467,0.1293,0,0,7.0,7.0
baseline_binary_relevance_model,-0.1533,0.1231,0,0,9.0,9.0
stacking_with_f_tests,-0.1533,0.1231,0,0,9.0,9.0
binary_relevance,-0.1533,0.1231,0,0,9.0,9.0
rakeld,-0.2333,0.1043,0,0,12.0,12.0
mlaram,-0.24,0.1123,0,0,13.0,13.0
majority_voting_classifier,-0.32,0.0884,0,0,14.0,14.0
label_space_partition_classifier,-0.35,0.1067,0,0,15.0,15.0
classifier_chain_with_f_test_ordering,,,0,0,,
