model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,./data/ariane.arff,0.5167,0.3371,-0.1533,0.1231,0.06,0.0917
baseline_stacked_generalization,./data/ariane.arff,0.5667,0.3667,-0.1333,0.13,0.06,0.0917
baseline_dependant_binary_relevance,./data/ariane.arff,0.6,0.3887,-0.1267,0.1348,0.06,0.0917
baseline_classifier_chain,./data/ariane.arff,0.55,0.3655,-0.1467,0.1293,0.06,0.0917
stacking_with_f_tests-alpha=0.25,./data/ariane.arff,0.5167,0.3371,-0.1533,0.1231,0.06,0.0917
stacking_with_f_tests-alpha=0.50,./data/ariane.arff,0.5167,0.3371,-0.1533,0.1231,0.06,0.0917
stacking_with_f_tests-alpha=0.75,./data/ariane.arff,0.5167,0.3371,-0.1533,0.1231,0.06,0.0917
classifier_chain_with_f_test_ordering-ascending_chain=False,./data/ariane.arff,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=True,./data/ariane.arff,,,,,,
classifier_chain_with_lop-num_generations=10,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
classifier_chain_with_lop-num_generations=25,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
classifier_chain_with_lop-num_generations=50,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=50-threshold=0.01,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=25-threshold=0.01,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=10-threshold=0.05,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
partial_classifier_chain_with_lop-num_generations=10-threshold=0.1,./data/ariane.arff,0.55,0.3655,-0.1367,0.1286,0.06,0.0917
classifier_chain_with_genetic_algorithm-num_generations=5,./data/ariane.arff,0.6,0.3887,-0.1267,0.1348,0.06,0.0917
binary_relevance,./data/ariane.arff,0.5167,0.3371,-0.1533,0.1231,0.06,0.0917
classifier_chain,./data/ariane.arff,0.55,0.3655,-0.1467,0.1293,0.06,0.0917
label_powerset,./data/ariane.arff,0.5333,0.2963,-0.14,0.1123,0.08,0.098
rakeld,./data/ariane.arff,0.1833,0.1893,-0.2333,0.1043,0.0527,0.0659
mlaram,./data/ariane.arff,0.2167,0.1833,-0.24,0.1123,0.0693,0.0594
majority_voting_classifier,./data/ariane.arff,0.1,0.1528,-0.32,0.0884,0.0887,0.0837
label_space_partition_classifier,./data/ariane.arff,0.0333,0.1,-0.35,0.1067,0.102,0.099
